WKT,id,province_id,province_name,name,latitude,longitude
"POINT (111.1110527 -8.1877073)",3501.0,35.0,JAWA TIMUR,KABUPATEN PACITAN,-8.1877073,111.1110527
"POINT (111.460175 -7.8850405)",3502.0,35.0,JAWA TIMUR,KABUPATEN PONOROGO,-7.8850405,111.460175
"POINT (111.7038758 -8.082378)",3503.0,35.0,JAWA TIMUR,KABUPATEN TRENGGALEK,-8.082378,111.7038758
"POINT (111.9386432 -8.0976348)",3504.0,35.0,JAWA TIMUR,KABUPATEN TULUNGAGUNG,-8.0976348,111.9386432
"POINT (112.25 -8.13333)",3505.0,35.0,JAWA TIMUR,KABUPATEN BLITAR,-8.13333,112.25
"POINT (112.16667 -7.83333)",3506.0,35.0,JAWA TIMUR,KABUPATEN KEDIRI,-7.83333,112.16667
"POINT (112.66667 -8.16667)",3507.0,35.0,JAWA TIMUR,KABUPATEN MALANG,-8.16667,112.66667
"POINT (113.2186632 -8.1465805)",3508.0,35.0,JAWA TIMUR,KABUPATEN LUMAJANG,-8.1465805,113.2186632
"POINT (113.702186 -8.1888329)",3509.0,35.0,JAWA TIMUR,KABUPATEN JEMBER,-8.1888329,113.702186
"POINT (114.3757828 -8.2300417)",3510.0,35.0,JAWA TIMUR,KABUPATEN BANYUWANGI,-8.2300417,114.3757828
"POINT (113.9834 -7.9404)",3511.0,35.0,JAWA TIMUR,KABUPATEN BONDOWOSO,-7.9404,113.9834
"POINT (114.0060547 -7.7153091)",3512.0,35.0,JAWA TIMUR,KABUPATEN SITUBONDO,-7.7153091,114.0060547
"POINT (113.31667 -7.86667)",3513.0,35.0,JAWA TIMUR,KABUPATEN PROBOLINGGO,-7.86667,113.31667
"POINT (112.83333 -7.73333)",3514.0,35.0,JAWA TIMUR,KABUPATEN PASURUAN,-7.73333,112.83333
"POINT (112.7 -7.45)",3515.0,35.0,JAWA TIMUR,KABUPATEN SIDOARJO,-7.45,112.7
"POINT (112.5 -7.55)",3516.0,35.0,JAWA TIMUR,KABUPATEN MOJOKERTO,-7.55,112.5
"POINT (112.25 -7.55)",3517.0,35.0,JAWA TIMUR,KABUPATEN JOMBANG,-7.55,112.25
"POINT (111.8989975 -7.6108901)",3518.0,35.0,JAWA TIMUR,KABUPATEN NGANJUK,-7.6108901,111.8989975
"POINT (111.65 -7.61667)",3519.0,35.0,JAWA TIMUR,KABUPATEN MADIUN,-7.61667,111.65
"POINT (111.335824 -7.6610537)",3520.0,35.0,JAWA TIMUR,KABUPATEN MAGETAN,-7.6610537,111.335824
"POINT (111.429196 -7.4104366)",3521.0,35.0,JAWA TIMUR,KABUPATEN NGAWI,-7.4104366,111.429196
"POINT (111.8631701 -7.1818731)",3522.0,35.0,JAWA TIMUR,KABUPATEN BOJONEGORO,-7.1818731,111.8631701
"POINT (112.0647922 -6.917588)",3523.0,35.0,JAWA TIMUR,KABUPATEN TUBAN,-6.917588,112.0647922
"POINT (112.4004408 -7.1292418)",3524.0,35.0,JAWA TIMUR,KABUPATEN LAMONGAN,-7.1292418,112.4004408
"POINT (112.6381438 -7.1660497)",3525.0,35.0,JAWA TIMUR,KABUPATEN GRESIK,-7.1660497,112.6381438
"POINT (112.7657889 -7.0609039)",3526.0,35.0,JAWA TIMUR,KABUPATEN BANGKALAN,-7.0609039,112.7657889
"POINT (113.2362559 -7.1944553)",3527.0,35.0,JAWA TIMUR,KABUPATEN SAMPANG,-7.1944553,113.2362559
"POINT (113.4945044 -7.1702384)",3528.0,35.0,JAWA TIMUR,KABUPATEN PAMEKASAN,-7.1702384,113.4945044
"POINT (113.8746516 -7.0212619)",3529.0,35.0,JAWA TIMUR,KABUPATEN SUMENEP,-7.0212619,113.8746516
"POINT (112.0070565 -7.8550989)",3571.0,35.0,JAWA TIMUR,KOTA KEDIRI,-7.8550989,112.0070565
"POINT (112.16667 -8.1)",3572.0,35.0,JAWA TIMUR,KOTA BLITAR,-8.1,112.16667
"POINT (112.63333 -7.975)",3573.0,35.0,JAWA TIMUR,KOTA MALANG,-7.975,112.63333
"POINT (113.21667 -7.78333)",3574.0,35.0,JAWA TIMUR,KOTA PROBOLINGGO,-7.78333,113.21667
"POINT (112.9 -7.65)",3575.0,35.0,JAWA TIMUR,KOTA PASURUAN,-7.65,112.9
"POINT (112.43333 -7.46667)",3576.0,35.0,JAWA TIMUR,KOTA MOJOKERTO,-7.46667,112.43333
"POINT (111.53333 -7.63333)",3577.0,35.0,JAWA TIMUR,KOTA MADIUN,-7.63333,111.53333
"POINT (112.71667 -7.26667)",3578.0,35.0,JAWA TIMUR,KOTA SURABAYA,-7.26667,112.71667
"POINT (112.53751 -7.83272)",3579.0,35.0,JAWA TIMUR,KOTA BATU,-7.83272,112.53751
