WKT,id,name,alt_name,latitude,longitude
"POINT (97.0253 4.36855)",11.0,ACEH,ACEH,4.36855,97.0253
"POINT (99.38122 2.19235)",12.0,SUMATERA UTARA,SUMATERA UTARA,2.19235,99.38122
"POINT (100.3864619 -0.9605479)",13.0,SUMATERA BARAT,SUMATERA BARAT,-0.9605479,100.3864619
"POINT (101.4404633 0.4784383)",14.0,RIAU,RIAU,0.4784383,101.4404633
"POINT (102.7797 -1.61157)",15.0,JAMBI,JAMBI,-1.61157,102.7797
"POINT (104.09306 -3.12668)",16.0,SUMATERA SELATAN,SUMATERA SELATAN,-3.12668,104.09306
"POINT (102.53598 -3.51868)",17.0,BENGKULU,BENGKULU,-3.51868,102.53598
"POINT (105.0273 -4.8555)",18.0,LAMPUNG,LAMPUNG,-4.8555,105.0273
"POINT (106.0238798 -2.4065017)",19.0,KEPULAUAN BANGKA BELITUNG,KEPULAUAN BANGKA BELITUNG,-2.4065017,106.0238798
"POINT (104.8399219 -0.2948548)",21.0,KEPULAUAN RIAU,KEPULAUAN RIAU,-0.2948548,104.8399219
